title,tags,category,expected,predicted,rule,is_game,is_cover,suspicious
【IA小天使 OFFICIAL】重新启动！IA的哔哩哔哩官方频道,"V家,IA,イア,伊愛,Cevio,Vocaloid,IA小天使",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
最强虚拟歌姬争霸赛3,"v flower,IA,C社六子,可不,gumi,亚北音留,中术,歌爱雪,重音teto,虚拟歌手",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
关于CeVIO的一切（All About CeVIO）,"CeVIO,IA,CeVIO AI,KAFU,可不,东北切蒲英",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
伊爱！小天使永远滴神！！,"VOCALOID,2022虚拟歌手创作赛,让虚拟歌手为你唱,IA",VOCALOID·UTAU,ia_related,ia_music,music_signal,False,False,False
IA~IA~你的脖子为什么那么长,"直播切片,IA",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
大孝女IA,"IA,ONE,OИE",单机游戏,ia_related,ia_music,music_weird_title,False,False,True
怪盗俊达萌袭击电视台！,"IA,俊达萌,直播切片",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
IA依旧用外星科技欺负人~~,"IA,直播切片,弦卷真纪",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
ARIA星人回归宇宙——这样算是通关了吗,"直播切片,aria,结月缘,IA,ONE",单机游戏,ia_related,ia_music,music_signal,False,False,False
[MMD]璀璨星河 与你共舞《INTERGALACTIA》,"IA,MMD,INTERGALACTIA,IA GLOWB,碧蓝玩家团激励计划,碧蓝航线,碧蓝,信浓",MMD·3D,ia_related,ia_music,music_signal,False,False,False
「既然如此，就随风漂流吧」   [水彩] 風時計-Qeiru,"Qeiru,IA,水彩,手绘,VOCALOID,風時計,术力口",日常,ia_related,ia_music,music_signal,False,False,False
鳗，What can I say,"直播切片,东北切蒲英,音街鳗,IA",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
情商很低的四国玫碳,"IA,四国玫碳,直播切片",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
结月缘和IA生孩子啦！,"直播切片,结月缘,IA",单机游戏,ia_related,ia_music,music_signal,False,False,False
【深空之眼】当正宫穿着婚纱来KTV包厢找你😨 Conqueror—薇儿丹蒂,"IA,深空之眼MMD,深空之眼,薇儿丹蒂,MMD,薇儿,conqueror",MMD·3D,ia_related,ia_music,music_only_ia,False,False,True
坐上王座的IA居然……,"IA,直播切片",单机游戏,ia_related,ia_music,music_only_ia,False,False,True
结月缘背摔善良外星人,"直播切片,结月缘,IA",单机游戏,ia_related,ia_music,music_signal,False,False,False
ARIA星人的神秘料理,"结月缘,IA,朋友收集,直播切片",单机游戏,ia_related,ia_music,music_signal,False,False,False
LLP教主，畏惧了……,"直播切片,绁星灯,音街鳗,结月缘,IA,ONE",单机游戏,ia_related,ia_music,music_signal,False,False,False
