bvid,page,title,author,tags,category,play_count,regex_content_type,regex_is_game,regex_is_cover,regex_rule,suspicious_reason
BV1Ns411Z7Ym,88,【GUMI+IA】　不毛！　【ぽてんしゃる0】,日進月步,"分P狂魔,NEKOBOLO,UP主辛苦,VOCALOID,作业用,作业用BGM,VOCALOID殿堂入り,下载22L,IA",VOCALOID·UTAU,6152,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='不毛！')，需LLM确认
BV1Ns411Z7Ym,136,【ルカ ミク グミ IA リン】 jewel 【梅とら】,日進月步,"分P狂魔,NEKOBOLO,UP主辛苦,VOCALOID,作业用,作业用BGM,VOCALOID殿堂入り,下载22L,IA",VOCALOID·UTAU,6152,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='jewel')，需LLM确认
BV1Ns411Z7Ym,247,【ルカ ミク グミ IA リン】虎視眈々【梅とら】,日進月步,"分P狂魔,NEKOBOLO,UP主辛苦,VOCALOID,作业用,作业用BGM,VOCALOID殿堂入り,下载22L,IA",VOCALOID·UTAU,6152,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='虎視眈々')，需LLM确认
BV1BR4y177zE,1,【CEVIOAI(IA】脳内disco【r-906】,rotbala,"VOCALOID,r-906,ノウナイディスコ,IA,CEVIO",VOCALOID·UTAU,521982,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='脳内disco')，需LLM确认
BV1ns411o7PQ,1,【ルカ ミク グミ IA リン】虎视眈眈,牛牛蝎羯,"GUMI,梅绅士,四字熟语系列,虎视眈眈,VOCALOID",VOCALOID·UTAU,423394,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='虎视眈眈')，需LLM确认
BV1ph4y1U73V,1,【语调教｜跨语种】一百块还是饺子,孙鸣阳-青岛超银,"VOCALOID,初音未来,冰山清辉,镜音铃,镜音连,IA,虚拟歌手,歌爱雪,vflower,术力口",VOCALOID·UTAU,279885,ia_related,False,False,nonsong_mixed:语调教,标题含'语调教'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1uk4y1P74c,1,【V家/术曲】全球音乐人气排行榜TOP100-51,小小佐仓千代,"镜音,VOCALOID,初音未来,巡音,GUMI,洛天依,IA,V flower,术曲,虚拟歌手分享官,虚拟之声创作计划·2023第三期",VOCALOID·UTAU,260239,ia_related,False,False,nonsong_mixed:排行,标题含'排行'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1Qs41127Pp,1,NicoNico超Party 2015~VOCALOID/UTAU~部分,VOCALOID,"VOCALOID,GUMI,神威がくぽ,初音ミク,巡音ルカ,NICONICO超PARTY,重音テト,鏡音リン・レン,ニコニコ超会议,IA",VOCALOID·UTAU,227183,ia_related,False,False,nonsong_mixed:超Party,标题含'超Party'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1d44y1F74e,1,【语调教｜跨语种】歌   姬   超    甜   自   我   介   绍,孙鸣阳-青岛超银,"VOCALOID,初音未来,镜音铃,虚拟歌姬,镜音连,IA,歌爱雪,语调教,糖果超甜,术力口",VOCALOID·UTAU,210679,ia_related,False,False,nonsong_mixed:语调教,标题含'语调教'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1zs411U77V,1,【Miku&amp;IA国人民族调原创曲】传颂之章【花之祭P】❀,花之祭P,"MIKU DARK,VOCALOID民族调曲,原创曲,咏吟轩,花之祭P,零届0RZ,美哭,初音MIKU,IA,杏花包儿",VOCALOID·UTAU,160559,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='传颂之章❀')，需LLM确认
BV1Ax411N7W7,1,【ルカミクグミIAリン】一騎当千【梅とら】【MV】,牛牛蝎羯,"GUMI,一骑当千,梅とら,IA,初音MIKU,镜音RIN,巡音LUKA,VOCALOID",VOCALOID·UTAU,151763,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='一騎当千')，需LLM确认
BV1Fx411T7wa,1, NicoNico超Party3~VOCALOID/UTAU~部分,VOCALOID,"VOCALOID,GUMI,神威がくぽ,镜音レン,镜音LEN,巡音LUKA,ニコニコ超会议,重音TETO,初音MIKU,镜音RIN,IA",VOCALOID·UTAU,150895,ia_related,False,False,nonsong_mixed:超Party,标题含'超Party'(非歌曲信号)但tags有音乐标签，需LLM确认
BV11v421i7HU,1,【V家原创动画】为什么要唱《春日影》？！复刻经典！【2024虚拟歌手贺岁纪单品】,久远丶酱,"VOCALOID,镜音铃,巡音流歌,IA,虚拟歌手,可不,小春六花,春日影,2024虚拟歌手贺岁纪,春日影翻唱",VOCALOID·UTAU,141461,ia_related,False,True,nonsong_mixed:贺岁,标题含'贺岁'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1Vs411D71Z,1,【2015.4.5为止的】目前超过100万再生传说VOCALOID曲【217曲】,KitanoNani,"镜音レン,结月缘,VOCALOID,初音MIKU,IA,MEIKO,GUMI,KAITO,VY1,神威がくぽ,VY2,镜音RIN",VOCALOID·UTAU,129317,ia_related,False,False,nonsong_mixed:超过,标题含'超过'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1LV411T7vQ,1,【VOCALOID 8人/语调教】八种声音说不爱我了是吧6,司机信号不好,"初音ミク,VOCALOID,初音未来,GUMI,巡音流歌,IA,歌爱雪,语调教,v_flower,2023虚拟歌手创作赛",VOCALOID·UTAU,109686,ia_related,False,False,nonsong_mixed:语调教,标题含'语调教'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1PP41117tW,1,【V家小课堂】|没听过IA的阳炎曲，都不是合格的术术人！,X11潮玩集合,"V家,VOCALOID,虚拟偶像,虚拟歌姬,阳炎,IA,自然之敌P,阳炎project",VOCALOID·UTAU,107551,ia_related,False,False,nonsong_mixed:小课堂,标题含'小课堂'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1Ls411U7HV,1,【ルカミクグミIAリン】四面楚歌【梅とら】,等待呢歌,"GUMI,IA,梅とら,四字熟语系列,四面楚歌,再编曲,LUKA,初音MIKU,镜音RIN,VOCALOID",VOCALOID·UTAU,107419,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='四面楚歌')，需LLM确认
BV1Ki4y1e7ZS,1,【ルカミクグミIAリン】CR詠ZY【梅とら】,妄想Delusions,"初音ミク,巡音ルカ,VOCALOID,鏡音リン,GUMI,梅とら,IA",VOCALOID·UTAU,105407,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='CR詠ZY')，需LLM确认
BV1Jb411w7Rq,1,NicoNico超Party 2018~VOCALOID/UTAU~部分,VOCALOID,"NicoNico超Party 2018,IA,初音ミク,GUMI,巡音ルカ,鏡音リン,MEIKO,镜音レン,VOCALOID,KAITO",VOCALOID·UTAU,102915,ia_related,False,False,nonsong_mixed:超Party,标题含'超Party'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1fs411Z7Hv,1,【洛天依xIA】祈愿之歌【民族调原创曲PV付✿】,花之祭P,"VOCALOID,原创,VOCALOID民族调曲,洛天依,咏吟轩,花之祭P,花圈组,KREISEE,ナミカ,不要点,IA",VOCALOID·UTAU,95808,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='祈愿之歌')，需LLM确认
BV1Zs411Z7Hf,1,【巡音ルカ×初音ミク×GUMI×IA×鏡音リン】jewel【梅とら】,白羽沉,"GUMI,梅とら,IA,JEWEL,珠光宝气（大雾）,巡音LUKA,VOCALOID,镜音RIN,初音MIKU",VOCALOID·UTAU,94789,ia_music,False,False,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='jewel')，需LLM确认
