bvid,page,title,author,tags,category,play_count,regex_content_type,regex_is_game,regex_is_cover,regex_rule,suspicious,suspicious_reason
BV19w5G68Eif,1,Brasil-M4IA,华纳音乐国际,"M4IA,Brasil,MV",MV,247,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1eB5M6JEgE,1,Kwik Flip - Aden Mayo Remix,10_20_,"YTPMV,REMIX,因为我觉得这个大概率是IA新emote的音乐所以我打IA标签,kwik flip,Aden Mayo,Item Asylum,音mad",音乐综合,1331,ia_related,False,True,fallback,True,无任何明确信号，默认归为ia_related
BV1no5P6DEoU,1,2iA7yBp,花屋しょう喵,绝区零UP主激励计划,音MAD,1724,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1Gb5s6hEab,1,IA获得“同时吃下世界杯”冠军——MII新闻,孽虚烟呀,"直播切片,IA",单机游戏,145,ia_related,False,False,nonsong_mixed:新闻,True,标题含'新闻'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1fhdMBbEtT,1,“来了云南才知道的地方”！,拉拉在线听看,"音乐分享官,创作灵感,生活记录,IA,云南,旅游,大理,丽江,记录,原创",音乐综合,175,ia_related,False,False,nonsong_mixed:来了,True,标题含'来了'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1CDRtBWEcL,1,【GNR/ia描改手书】今天不宜退队Ⅱ椅子林退队野史,斩鲸刀,"枪花,额滴神五一五天假全画这个了,描改手书,gnr,ia,摇滚同人",音乐现场,782,ia_related,False,False,nonsong_mixed:手书,True,标题含'手书'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1C7RpBrEZT,1,千问这波真的杀疯了，国产 AI 直接站起来了,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,7936,ia_related,False,False,nonsong_mixed:来了,True,标题含'来了'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1HpRpBMEkd,1,还在纠结选哪个 AI？听我的，选千问不后悔,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,548,ia_related,False,False,nonsong_mixed:哪个,True,标题含'哪个'(非歌曲信号)但tags有音乐标签，需LLM确认
BV11Co7BKEhQ,1,因为一个误会我恨了沈不渝五年，在得知我要和别人私奔的那天……,云兮动漫,"二次元,动漫,IA漫剧,短剧种草计划,漫剧",动漫杂谈,1121,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1asdrBkE7C,1,【绘画过程】 维什戴尔 摸鱼,请蒸西蓝花,"维什戴尔,明日方舟,IA,明日方舟创作者应援计划,必剪创作,维神,雨宿り,摸鱼,绘画过程,绘画",日常,1455,ia_related,False,False,nonsong_mixed:绘画,True,标题含'绘画'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1tiSfBqENq,1,丽磁LM-519IA+ATC 50：方盛唱片《陈果 十二小时》HQCD II,HIFI168E版,"音乐视频,陈果,唱片,音响,音乐分享,CD",音乐综合,199,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1CKSSBKEDY,1,IA IA AA YEYE YEYE 这才是真正的音乐,Easrfa,meme,演奏,223,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1b295BdEJj,1,iV2h3IA,雪夜中的书生,绝区零UP主激励计划,音MAD,2527,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1xNXSBmEtt,1,女总裁的投喂,鲨鲨-柒零零电竞,"三角洲ia整活,三角洲老板,三角洲欢乐剧场,三角洲行动动画,三角洲行动",影视剪辑,1220,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1VyX2BWEyr,1,t5Ia4N,丷能跑为什么要打丷,绝区零UP主激励计划,音MAD,2728,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1yHXGB3ECA,1,IA3v9BdQfa,爱跑步的库库,绝区零UP主激励计划,音MAD,2827,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1V2XWB9EhB,1,(test #17)［草鞋TV］小邪刚过完生日就被迫和小牛不紧不慢不快不慢的ouz ia,khromium,"Evil Neuro,Neuro-sama,Neuro,虚拟主播",音乐综合,896,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1GoXEBrE21,1,ia78mDJ55x,晨羊夏洛特,绝区零UP主激励计划,音MAD,2601,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV16JQoB4EQ4,1,丽磁LM-519IA：徐小明《大号是中华》,HIFI168E版,"这些影音电器真的值得入,hiend音响震撼听感实录,音响发烧友的极致追求,家庭工作室监听音箱配置,影音电器",音乐综合,203,ia_related,False,False,fallback,True,无任何明确信号，默认归为ia_related
BV1xoPqzCEHX,1,希腊奶！雅珂达卸甲后竟然长这样！,六兆年的夜空哨戒班,"IA,六兆年零一夜物语,OP,原批干的那些事,雅珂达,动画种草激励计划,原批,原神,截肢,可达鸭",VOCALOID·UTAU,42860,ia_music,False,False,music_signal
BV1vg5t6gEXX,1,疑似战斗之王/未认证团队的诞生,这是非常酷的klu,"自制,玩家自制故事,未认证,itemasylum,自定义故事,ia,boss,港口,不知道",日常,223,ia_music,False,False,music_signal
BV17G5n6dEbN,1,在IA里有个规矩 轮椅面前众生平等,Yibia_伊比亚,"IA,物品避难所,罗布乐思,roblox",单机游戏,1792,ia_music,False,False,music_signal
BV14K576AEPJ,1,拼夕夕九块九买的求生之路2，大家帮我看看是不是真的,suka_94,"roblox,ia,求生之路,求生之路2",单机游戏,955,ia_music,False,False,music_signal
BV1R7RdBSEz4,1,【IA福袋】谁又来还kpop专辑盲盒开箱的债来了,空醴隹木酒_,"生活记录,开箱,kpop专辑盲盒,ia福袋,随手记录我的生活碎片,吒,礼,芙",仿妆cos,369,ia_music,False,False,music_signal
BV14iR2B2EKV,1,我能在67避难所使用676767击败67个67吗?,IsEXP,"物品避难所,Roblox,ia,沙盒游戏,67",单机游戏,893,ia_music,False,False,music_signal
BV1HpRpBME6E,1,每天都离不开千问，它已经成了我的必备搭子,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,2086,ia_music,False,False,music_signal
BV1HpRpBuEog,1,千问的每一次回答，都让我忍不住感叹太智能,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1434,ia_music,False,False,music_signal
BV1HpRpBME6F,1,用千问省下来的时间，多到让我不敢相信,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,507,ia_music,False,False,music_signal
BV1HpRpBMEhs,1,千问的强大，只有真正深度用过的人才会懂,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1660,ia_music,False,False,music_signal
BV1HpRpBMEHT,1,别再跟风用网红工具，懂行的都在悄悄用千问,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,4527,ia_music,False,False,music_signal
BV1W7RpBrEid,1,千问一登场，其他 AI 瞬间变得平平无奇,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,3475,ia_music,False,False,music_signal
BV1W7RpBrESt,1,学生党狂喜，有了千问，学习难题再也不用愁,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,4274,ia_music,False,False,music_signal
BV1y7RpBrEJN,1,为什么越来越多人放弃别的 AI，只认准千问,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,816,ia_music,False,False,music_signal
BV1HpRpBMEr1,1,千问真的太靠谱了，不管问什么都很专业,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,3125,ia_music,False,False,music_signal
BV1HpRpBMECv,1,没试过千问，你都不知道 AI 能有多贴心,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,1444,ia_music,False,False,music_signal
BV1npRpBMERu,1,千问不只是工具，更像一个随时在线的得力助手,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,661,ia_music,False,False,music_signal
BV1HpRpBMEnj,1,千问到底有多神？亲自用一次你就全明白了,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,2084,ia_music,False,False,music_signal
BV1HpRpBMEbX,1,千问的体验感真的拉满，用过就再也忘不掉,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,877,ia_music,False,False,music_signal
BV1HpRpBMEzF,1,本来只是随便试试，千问直接给我整破防了,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,794,ia_music,False,False,music_signal
BV1HpRpBMEBQ,1,千问不仅功能强，用起来还特别简单顺手,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,550,ia_music,False,False,music_signal
BV1y7RpBrEKN,1,我真的被千问惊艳到了，这才是 AI 该有的实力,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,693,ia_music,False,False,music_signal
BV1kpRpBME4P,1,千问越用越上头，用过之后真的戒都戒不掉,AI打工仔_,"打车神器,千问,外卖神器,学习助手,智能助手,生活帮手,ia",日常,12740,ia_music,False,False,music_signal
