bvid,page,title,author,tags,category,play_count,regex_content_type,regex_is_game,regex_is_cover,regex_rule,suspicious,suspicious_reason
BV1CG411n7eV,1,《哼 着 哼 着 就 串 了》,Misaka_Zs,"COVER,吉他,IA,初音未来,再见宣言,怪力熊,flower,镜音铃,六兆年と一夜物語,VOCALOID,洗脑循环",VOCALOID·UTAU,18119,ia_music,False,True,music_signal,False,
BV1tZ4y147YC,1,术 力 口 猜 歌 比 赛 11.4514【PartyParrot】,七实Nanoka,"术力口,打卡挑战,初音未来,VOCALOID,猜歌,虚拟歌手,MARETU,PartyParrot,IA,初音MIKU",VOCALOID·UTAU,16915,ia_music,False,False,music_signal,False,
BV1x7HZzkEjF,1,油管播放量最高的VOCALOID歌曲演变史,Crit3rion,"播放量,flower,歌曲,初音ミク,镜音铃,GUMI,可不,IA,VOCALOID,排行榜",VOCALOID·UTAU,15804,ia_music,False,False,music_signal,False,
BV1kzrABmEy6,1,截至2025年12月油管播放量最高的术曲TOP300,Crit3rion,"歌爱雪,IA,镜音连,巡音流歌,镜音铃,GUMI,重音テト,排行榜,VOCALOID,初音ミク",VOCALOID·UTAU,15709,ia_music,False,False,music_signal,False,
BV1Qt411V7mx,1,【IA短视频】「鸭鸭鸭？到底什么意思呀？」~重启1周纪念~,IA小天使OFFICIAL,"イア,Vocaloid,伊爱,IA,V家,LIA,Cevio,IA小天使OFFICIAL,IA小天使",VOCALOID·UTAU,14816,ia_music,False,False,music_signal,False,
BV1kF4m1F7ku,1,【V家杂谈】为什么说V家游戏正统在PSV？唠唠PSV上的那些VOCALOID游戏,子晔逃离外太空,"初音ミク,洛天依,星尘,游戏杂谈,VOCALOID,虚拟之声创作计划·2024第一期,PSV,GUMI,IA,虚拟歌手分享官,音乐游戏",VOCALOID·UTAU,14579,ia_music,True,False,music_weird_title,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='为什么说V家游戏正统在PSV？唠唠PSV上的那些VOCALO')，需LLM确认
BV1hu9MY7EF7,1,【VOCALOID 6 IA 正在研发中！】官方直播Demo曲片段试听,VOCALOID音乐社,"ボカロ,VOCALOID6,IA,虚拟歌手,VOCALOID",VOCALOID·UTAU,13491,ia_music,False,False,music_signal,False,
BV1cP4y1h7CG,1,《术 力 口 零 元 购》,rotbala,"鏡音レン,IA,GUMI,初音ミク,VOCALOID,鏡音リン,flower",VOCALOID·UTAU,13479,ia_music,False,False,music_signal,False,
BV1ct411H7sv,1,【IA短视频】谢谢！粉丝数破万纪念,IA小天使OFFICIAL,"オネ,IA,Cevio,OИE,Vocaloid,伊爱,イア,恩奈,IA小天使OFFICIAL,IA小天使",VOCALOID·UTAU,13041,ia_music,False,False,music_signal,False,
BV1WqfmYFEFT,1,IA VOCALOID6 直播试听,君临德雷克,"IA,VOCALOID",VOCALOID·UTAU,9345,ia_music,False,False,music_signal,False,
BV1Xt411i7N2,1,niconico超会议2012,洛奇亚X,"弱音,ia,VOCALOIDCHINA,巡音,音乐,初音未来",VOCALOID·UTAU,9270,ia_music,False,False,music_signal,False,
BV1TBMgz2EE5,1,希腊奶！知らない！希腊奶！知らない！僕は何も知らない！超级洗脑BUFF叠满！,六兆年的夜空哨戒班,"伊爱,IA,六兆年零一夜物语,可爱,洗脑循环,虚拟偶像,1分钟动画剧场,初音未来,希腊奶",VOCALOID·UTAU,8325,ia_music,False,False,music_signal,False,
BV1uC9PYBECZ,1,三歌姬热舞 威風堂々(威风堂堂)初音ミク、巡音ルカ、鏡音リン,Maurice颜语诚_熊二之吻,"GUMI,初音ミク,VOCALOID,巡音ルカ,IA,威風堂々,补档好歌,威风堂堂,鏡音リン",VOCALOID·UTAU,7892,ia_music,False,False,music_signal,False,
BV12vziBkEvX,1,我家偶像的生日到了，这是给她的生日礼物,interestwang,"YOASOBI,IA,VOCALOID",VOCALOID·UTAU,7345,ia_music,False,False,music_signal,False,
BV1LK4y1Z7QR,1,【ウマ娘】米浴被大家所厌恶。【AIきりたん】,双子De叶,"米浴,IA,VOCALOID,赛马娘",VOCALOID·UTAU,7130,ia_music,False,False,music_signal,False,
BV1ch411R7m2,1,【IA OFFICIAL】在家动手作! 猕猴桃健康饮品篇 ｜IA&amp;ONE的推荐,IA小天使OFFICIAL,"IA,伊爱,ONE,教学,IA OFFICIAL,イア",VOCALOID·UTAU,6717,ia_music,False,False,music_signal,False,
BV17HFNePEdp,1,听好，我根本不是玩偶,总有一天从绝望的深渊,"无cp向,初音未来,重音teto,IA",VOCALOID·UTAU,6691,ia_music,False,False,music_signal,False,
BV1ax411f7PE,1,【公演预告片】&quot;ARIA&quot; 音乐剧 &amp; 演唱会【IA小天使】,IA小天使OFFICIAL,"IA小天使 OFFICIAL,IA小天使,IA,VOCALOID,伊愛,音乐剧,ARIA公演,イア,V家,演唱会",VOCALOID·UTAU,6651,ia_music,False,False,music_signal,False,
BV1x5CzBbEDo,1,外网40位粉丝评选的150首热门VOCALOID歌曲（从最差到最好）,Crit3rion,"初音ミク,巡音流歌,排名,可不,重音Teto,镜音双子,歌爱雪,VOCALOID,IA,GUMI",VOCALOID·UTAU,3410,ia_music,False,False,music_signal,False,
BV1wXCWB7ESU,1,姐姐你玩摇滚，你玩它有啥用啊！,鋼鉄ノ鳥,"二手玫瑰,IA,仙儿",VOCALOID·UTAU,766,ia_music,False,False,music_only_ia,True,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='姐姐你玩摇滚，你玩它有啥用啊！')，需LLM确认
BV1dp1iBGEdu,1,ボカロライブMIKU Crossing05,想要诱拐一只KAITO回家,"巡音ルカ,鏡音リン,GUMI,Vflower,鏡音レン,KAITO,IA,VOCALOID,初音ミク",VOCALOID·UTAU,629,ia_music,False,False,music_signal,False,
BV18zsBzqERN,1,纳米砧板，小葵,源Kelvin,"结月缘,ONE,琴叶葵,琴叶茜,VOCALOID,VOICEROID,绁星灯,MMD,弦卷真纪,IA",VOCALOID·UTAU,3531,ia_music,False,False,music_weird_title,True,tags有IA/VOCALOID但标题格式非标准歌曲(clean='纳米砧板，小葵')，需LLM确认
BV1DW411x7Mk,1,【第五期】35首你不知道的V&amp;U家埋没神曲-剪辑最好听片段,BlueEvenfall,"オリジナル曲,UTAU,镜音,IA,KAITO,VOCALOID,初音MIKU,个人向,GUMI,巡音LUKA",VOCALOID·UTAU,655,ia_music,False,False,music_signal,False,
BV1ZJ411c73b,1,315 オリジナル曲【1~10曲目】クロスフェード,315_sanichigo,"初音,初音MIKU,日语,315,IA,FUKASE,自制,Fukase,MIKU,VOCALOID Fukase",VOCALOID·UTAU,48,ia_music,False,False,music_signal,False,
