bvid,page,title,author,tags,category,play_count,regex_content_type,regex_rule,suspicious_reason
BV1Ms411i7mL,1,【 X-LIVE全力呈现】 2016年IA上海初回演唱会：PARTY A GOGO 巡游派对,X-LIVE现场,"自然之敌P,阳炎PROJECT,IA,JIN爹,IA小天使,V家,预告资讯,LIVE演唱会,LIA,VOCＡLOID",VOCALOID·UTAU,21189,ia_related,nonsong_mixed:演唱会,标题含'演唱会'(非歌曲信号)但tags有音乐标签，需LLM确认
BV18V4y1b7C8,1,【大型纪录片】法斯特传奇,BEI___,"V家,OИE,恩奈,CeVIO,IA,VOCALOID,CeVIO AI,伊爱,HIPPI",VOCALOID·UTAU,21183,ia_related,nonsong_mixed:纪录片,标题含'纪录片'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1AW411D7fn,1,【 VOCALOIDs 】一周年メドレー【 傘村トータ 】,傘村トータ,"結月ゆかり,Fukase,傘村トータ,IA,初音ミク",VOCALOID·UTAU,21062,ia_music,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='一周年メドレー')，需LLM确认
BV1ps411X7n6,1,【ルカミクグミIAリン】D【梅とら】,等待呢歌,"梅とら,グミ,ルカ,梅绅士,D,リン,IA,ミク",VOCALOID·UTAU,20764,ia_music,music_only_ia,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='D')，需LLM确认
BV1Tk4y1J7M1,1,原来这些四月新番的op·ed都是术力口p主写的？【盘点·科普·推歌】（下半）,腐坏Mont-Blanc,"GUMI,IA,虚拟之声创作计划·2023第一期,GARNiDELiA,chinozo,虚拟歌手分享官,四月新番,vflower,ryo,初音未来,赤坂明",VOCALOID·UTAU,20506,ia_related,nonsong_mixed:科普,标题含'科普'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1JHYSemEgb,1,【术力口P主推荐—— 一滴P 篇】,爰翕,"初音ミク,一滴P,ひとしずくP × やま△,GUMI,C社六子,#IA,VOCALOID,神威乐步,MAYU",VOCALOID·UTAU,20245,ia_related,nonsong_mixed:推荐,标题含'推荐'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1xP411s7yD,1,【中国组】2023Orangestar生贺企划/橙星组曲大串烧【蜜柑星诞生祭】,糯米のミ,"Orangestar,Synthesizer V,翻唱,2023Orangestar生贺,歌曲串烧,外语翻唱,2023虚拟歌手创作赛,IA,VOCALOID,日语翻唱",VOCALOID·UTAU,19588,ia_related,nonsong_mixed:组曲,标题含'组曲'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1NU4y1x7zj,1,【镜音Len&amp;IA&amp;镜音Rin】圣少年游戏,玻璃渣子碎,"镜音Len,镜音双子,镜音Rin,Valkyrie,VOCALOID,偶像梦幻祭,自制,IA",VOCALOID·UTAU,19113,ia_music,music_weird_title,tags有IA/VOCALOID但标题格式非标准歌曲(clean='圣少年游戏')，需LLM确认
BV1kpbZz9EUc,1,盘点V家歌姬们最接近传说曲的歌曲,冰水L,"IA,初音未来,虚拟歌姬,术力口,KAITO,VOCALOID,镜音双子,GUMI,V家,初音ミク",VOCALOID·UTAU,19055,ia_related,nonsong_mixed:盘点,标题含'盘点'(非歌曲信号)但tags有音乐标签，需LLM确认
BV1WW411o78i,1,ザンネンショーマン / IA,jon_408,"しとお,jon-YAKITORY,IA,jon",VOCALOID·UTAU,18484,ia_music,music_only_ia,tags仅有'IA'但无VOCALOID/歌姬标签，IA可能是笔误或非虚拟歌姬(clean='ザンネンショーマン / IA')，需LLM确认
